"ntl_mean","n_pixels","n_non_na_pixels","prop_non_na_pixels","date"
NA,907,0,0,"2016-07-08"
NA,907,0,0,"2016-07-09"
NA,907,0,0,"2016-07-10"
4.29375696182251,907,746,0.822491730981257,"2016-07-11"
NA,907,0,0,"2016-07-12"
NA,907,0,0,"2016-07-13"
NA,907,0,0,"2016-07-14"
NA,907,0,0,"2016-07-15"
3.61673188209534,907,903,0.995589856670342,"2016-07-16"
NA,907,0,0,"2016-07-17"
NA,907,0,0,"2016-07-18"
NA,907,0,0,"2016-07-19"
4.33643579483032,907,904,0.996692392502756,"2016-07-20"
5.12038278579712,907,907,1,"2016-07-21"
4.54308843612671,907,906,0.998897464167585,"2016-07-22"
NA,907,0,0,"2016-07-23"
NA,907,0,0,"2016-07-24"
4.1548318862915,907,903,0.995589856670342,"2016-07-25"
4.68316459655762,907,903,0.995589856670342,"2016-07-26"
5.14970684051514,907,907,1,"2016-07-27"
NA,907,0,0,"2016-07-28"
4.23664903640747,907,907,1,"2016-07-29"
4.34558010101318,907,903,0.995589856670342,"2016-07-30"
4.39815759658813,907,902,0.994487320837927,"2016-07-31"
5.0837345123291,907,905,0.997794928335171,"2016-08-01"
NA,907,0,0,"2016-08-02"
1.64507758617401,907,904,0.996692392502756,"2016-08-03"
4.12110280990601,907,904,0.996692392502756,"2016-08-04"
4.68736219406128,907,907,1,"2016-08-05"
5.19024324417114,907,901,0.993384785005513,"2016-08-06"
4.74232769012451,907,903,0.995589856670342,"2016-08-07"
4.68505620956421,907,906,0.998897464167585,"2016-08-08"
2.83423376083374,907,905,0.997794928335171,"2016-08-09"
2.64989161491394,907,904,0.996692392502756,"2016-08-10"
4.74938201904297,907,903,0.995589856670342,"2016-08-11"
4.19378280639648,907,904,0.996692392502756,"2016-08-12"
4.31167030334473,907,904,0.996692392502756,"2016-08-14"
4.54124927520752,907,903,0.995589856670342,"2016-08-15"
4.56743288040161,907,903,0.995589856670342,"2016-08-16"
4.35628461837769,907,904,0.996692392502756,"2016-08-17"
4.35544872283936,907,907,1,"2016-08-18"
4.91201019287109,907,905,0.997794928335171,"2016-08-19"
4.33855676651001,907,907,1,"2016-08-20"
4.57365751266479,907,904,0.996692392502756,"2016-08-21"
4.47638559341431,907,903,0.995589856670342,"2016-08-22"
4.34690237045288,907,907,1,"2016-08-23"
4.96632051467896,907,905,0.997794928335171,"2016-08-24"
4.39272594451904,907,904,0.996692392502756,"2016-08-25"
4.36957740783691,907,907,1,"2016-08-26"
4.69081687927246,907,904,0.996692392502756,"2016-08-27"
3.81397771835327,907,903,0.995589856670342,"2016-08-28"
4.73987770080566,907,907,1,"2016-08-29"
4.41934299468994,907,903,0.995589856670342,"2016-08-30"
4.73831796646118,907,905,0.997794928335171,"2016-08-31"
3.2129385471344,907,906,0.998897464167585,"2016-09-01"
4.71870756149292,907,901,0.993384785005513,"2016-09-02"
4.04571533203125,907,907,1,"2016-09-03"
4.33645009994507,907,903,0.995589856670342,"2016-09-04"
4.73954677581787,907,903,0.995589856670342,"2016-09-05"
4.71282529830933,907,904,0.996692392502756,"2016-09-06"
3.58619427680969,907,903,0.995589856670342,"2016-09-07"
3.26639652252197,907,905,0.997794928335171,"2016-09-08"
4.61327600479126,907,904,0.996692392502756,"2016-09-09"
2.15090751647949,907,903,0.995589856670342,"2016-09-10"
4.65426778793335,907,901,0.993384785005513,"2016-09-11"
4.46388626098633,907,904,0.996692392502756,"2016-09-12"
4.31216287612915,907,904,0.996692392502756,"2016-09-13"
4.51625537872314,907,903,0.995589856670342,"2016-09-14"
4.33992767333984,907,904,0.996692392502756,"2016-09-15"
4.86477041244507,907,904,0.996692392502756,"2016-09-16"
4.86398696899414,907,905,0.997794928335171,"2016-09-17"
4.1274790763855,907,905,0.997794928335171,"2016-09-18"
3.68118214607239,907,904,0.996692392502756,"2016-09-19"
4.09841775894165,907,902,0.994487320837927,"2016-09-20"
4.08879804611206,907,903,0.995589856670342,"2016-09-21"
4.43465900421143,907,903,0.995589856670342,"2016-09-22"
4.86358833312988,907,907,1,"2016-09-23"
3.32384467124939,907,904,0.996692392502756,"2016-09-24"
4.01906061172485,907,907,1,"2016-09-25"
4.42236328125,907,905,0.997794928335171,"2016-09-26"
4.27802705764771,907,903,0.995589856670342,"2016-09-27"
4.40097379684448,907,907,1,"2016-09-28"
4.1846399307251,907,906,0.998897464167585,"2016-09-29"
4.48973083496094,907,904,0.996692392502756,"2016-09-30"
4.71073484420776,907,904,0.996692392502756,"2016-10-01"
4.81495141983032,907,901,0.993384785005513,"2016-10-02"
4.33831262588501,907,906,0.998897464167585,"2016-10-03"
4.83997821807861,907,904,0.996692392502756,"2016-10-04"
4.84004735946655,907,903,0.995589856670342,"2016-10-05"
4.8428521156311,907,902,0.994487320837927,"2016-10-06"
4.43627023696899,907,901,0.993384785005513,"2016-10-07"
4.84723424911499,907,901,0.993384785005513,"2016-10-08"
3.36109924316406,907,904,0.996692392502756,"2016-10-09"
4.23319578170776,907,905,0.997794928335171,"2016-10-10"
5.05488967895508,907,904,0.996692392502756,"2016-10-11"
4.32674646377563,907,907,1,"2016-10-12"
4.94422245025635,907,907,1,"2016-10-13"
4.94539213180542,907,904,0.996692392502756,"2016-10-14"
4.94420576095581,907,906,0.998897464167585,"2016-10-15"
4.94539213180542,907,904,0.996692392502756,"2016-10-16"
4.9442572593689,907,905,0.997794928335171,"2016-10-17"
4.94537544250488,907,903,0.995589856670342,"2016-10-18"
4.38391971588135,907,907,1,"2016-10-19"
4.94539213180542,907,904,0.996692392502756,"2016-10-20"
4.94422245025635,907,907,1,"2016-10-21"
3.3685462474823,907,906,0.998897464167585,"2016-10-22"
4.94539213180542,907,904,0.996692392502756,"2016-10-23"
4.94539213180542,907,904,0.996692392502756,"2016-10-24"
4.94422245025635,907,907,1,"2016-10-25"
4.94838905334473,907,902,0.994487320837927,"2016-10-26"
4.94539213180542,907,904,0.996692392502756,"2016-10-27"
4.86956834793091,907,904,0.996692392502756,"2016-10-28"
4.94539213180542,907,904,0.996692392502756,"2016-10-29"
4.49229860305786,907,901,0.993384785005513,"2016-10-30"
4.94419717788696,907,906,0.998897464167585,"2016-10-31"
4.94538402557373,907,904,0.996692392502756,"2016-11-01"
4.95297479629517,907,901,0.993384785005513,"2016-11-02"
4.81068181991577,907,903,0.995589856670342,"2016-11-03"
4.45561552047729,907,907,1,"2016-11-04"
4.86033916473389,907,904,0.996692392502756,"2016-11-05"
3.59651494026184,907,907,1,"2016-11-06"
4.85919284820557,907,907,1,"2016-11-07"
4.85919284820557,907,907,1,"2016-11-08"
4.85919284820557,907,907,1,"2016-11-09"
3.93797302246094,907,907,1,"2016-11-10"
4.8596248626709,907,904,0.996692392502756,"2016-11-11"
4.85924577713013,907,906,0.998897464167585,"2016-11-12"
4.86034107208252,907,904,0.996692392502756,"2016-11-13"
3.51187586784363,907,907,1,"2016-11-14"
4.86034107208252,907,904,0.996692392502756,"2016-11-15"
3.43673801422119,907,902,0.994487320837927,"2016-11-16"
3.83956718444824,907,903,0.995589856670342,"2016-11-17"
3.86861681938171,907,905,0.997794928335171,"2016-11-18"
4.86032485961914,907,903,0.995589856670342,"2016-11-19"
4.86330461502075,907,902,0.994487320837927,"2016-11-20"
4.84332370758057,907,906,0.998897464167585,"2016-11-21"
4.86330461502075,907,902,0.994487320837927,"2016-11-22"
4.86251544952393,907,903,0.995589856670342,"2016-11-23"
4.85919284820557,907,907,1,"2016-11-24"
4.86251544952393,907,903,0.995589856670342,"2016-11-25"
4.86034107208252,907,904,0.996692392502756,"2016-11-26"
3.14808750152588,907,903,0.995589856670342,"2016-11-27"
3.38588237762451,907,907,1,"2016-11-28"
4.00769710540771,907,907,1,"2016-11-29"
4.69888353347778,907,903,0.995589856670342,"2016-11-30"
3.96452879905701,907,902,0.994487320837927,"2016-12-01"
4.6759352684021,907,906,0.998897464167585,"2016-12-02"
3.36371231079102,907,902,0.994487320837927,"2016-12-03"
3.2772433757782,907,907,1,"2016-12-04"
4.52572679519653,907,907,1,"2016-12-05"
6.85444259643555,907,902,0.994487320837927,"2016-12-06"
7.13035440444946,907,905,0.997794928335171,"2016-12-07"
4.82424020767212,907,904,0.996692392502756,"2016-12-08"
4.64897203445435,907,907,1,"2016-12-09"
3.98888778686523,907,907,1,"2016-12-10"
4.69632816314697,907,907,1,"2016-12-11"
4.69716835021973,907,904,0.996692392502756,"2016-12-12"
4.69584465026855,907,906,0.998897464167585,"2016-12-13"
7.91164302825928,907,905,0.997794928335171,"2016-12-14"
6.24214172363281,907,903,0.995589856670342,"2016-12-15"
6.95086336135864,907,903,0.995589856670342,"2016-12-16"
6.43396425247192,907,903,0.995589856670342,"2016-12-17"
4.69716835021973,907,904,0.996692392502756,"2016-12-18"
4.69606256484985,907,906,0.998897464167585,"2016-12-19"
5.99492216110229,907,904,0.996692392502756,"2016-12-21"
4.69606256484985,907,906,0.998897464167585,"2016-12-22"
4.69640636444092,907,905,0.997794928335171,"2016-12-23"
4.69816064834595,907,905,0.997794928335171,"2016-12-24"
5.41565370559692,907,904,0.996692392502756,"2016-12-25"
2.98661589622498,907,904,0.996692392502756,"2016-12-26"
4.73210906982422,907,902,0.994487320837927,"2016-12-27"
4.73133993148804,907,903,0.995589856670342,"2016-12-28"
4.72789525985718,907,906,0.998897464167585,"2016-12-29"
3.7790048122406,907,905,0.997794928335171,"2016-12-30"
3.73224139213562,907,903,0.995589856670342,"2016-12-31"
NA,NA,NA,NA,"2017-09-29"
4.58605861663818,907,907,1,"2017-01-01"
9.35712623596191,907,906,0.998897464167585,"2017-01-02"
9.74886512756348,907,904,0.996692392502756,"2017-01-03"
9.94357776641846,907,904,0.996692392502756,"2017-01-04"
8.63837909698486,907,903,0.995589856670342,"2017-01-05"
4.03134870529175,907,901,0.993384785005513,"2017-01-06"
7.10696458816528,907,902,0.994487320837927,"2017-01-07"
5.86740016937256,907,907,1,"2017-01-08"
4.99281692504883,907,905,0.997794928335171,"2017-01-09"
5.67097902297974,907,903,0.995589856670342,"2017-01-10"
6.40135478973389,907,903,0.995589856670342,"2017-01-11"
6.01954650878906,907,903,0.995589856670342,"2017-01-12"
5.90660715103149,907,904,0.996692392502756,"2017-01-13"
5.65983152389526,907,904,0.996692392502756,"2017-01-14"
5.90526819229126,907,906,0.998897464167585,"2017-01-15"
5.90660715103149,907,904,0.996692392502756,"2017-01-16"
5.91605043411255,907,901,0.993384785005513,"2017-01-17"
5.90520238876343,907,907,1,"2017-01-18"
5.90669679641724,907,903,0.995589856670342,"2017-01-19"
5.84315824508667,907,904,0.996692392502756,"2017-01-20"
5.9090838432312,907,904,0.996692392502756,"2017-01-21"
3.93732690811157,907,903,0.995589856670342,"2017-01-22"
3.99213862419128,907,904,0.996692392502756,"2017-01-23"
4.07688856124878,907,904,0.996692392502756,"2017-01-24"
5.68371915817261,907,905,0.997794928335171,"2017-01-25"
4.77775382995605,907,906,0.998897464167585,"2017-01-26"
3.45620632171631,907,903,0.995589856670342,"2017-01-27"
4.46636581420898,907,903,0.995589856670342,"2017-01-28"
5.619300365448,907,901,0.993384785005513,"2017-01-29"
3.12476921081543,907,907,1,"2017-01-30"
4.74919509887695,907,907,1,"2017-01-31"
4.73763179779053,907,907,1,"2017-02-01"
5.01735973358154,907,903,0.995589856670342,"2017-02-02"
5.21176910400391,907,906,0.998897464167585,"2017-02-03"
