name,date,total_ntl,total_pixels,weighted_ntl_mean,prev_weighted_ntl_mean,pct_change
Dunbar-Southlands,9月 2022,172.5609153509142,95,1.81643068790436,1.97598206996918,-8.074535922651798
Dunbar-Southlands,11月 2022,160.4553180932994,95,1.68900334835052,1.81643068790436,-7.015260224482031
Dunbar-Southlands,1月 2023,168.12481164932225,95,1.76973485946655,1.68900334835052,4.779831324483307
Dunbar-Southlands,3月 2023,180.2320170402525,95,1.8971791267395,1.76973485946655,7.2013198243360215
Dunbar-Southlands,5月 2023,209.2524588108061,95,2.20265746116638,1.8971791267395,16.10171280726014
Dunbar-Southlands,7月 2023,180.45141398906713,95,1.89948856830597,2.20265746116638,-13.763778445145627
Dunbar-Southlands,9月 2023,165.9302532672879,95,1.74663424491882,1.89948856830597,-8.047130471728545
Dunbar-Southlands,11月 2023,155.85433542728424,95,1.64057195186615,1.74663424491882,-6.0723814021864415
Dunbar-Southlands,1月 2024,228.2805490493771,95,2.40295314788818,1.64057195186615,46.47045167112737
Dunbar-Southlands,3月 2024,210.36188960075336,95,2.21433568000793,2.40295314788818,-7.849402642162007
Dunbar-Southlands,5月 2024,204.9673271179201,95,2.15755081176758,2.21433568000793,-2.5644200539706277
Dunbar-Southlands,7月 2024,160.38954317569696,95,1.68831098079681,2.15755081176758,-21.748726769792448
Dunbar-Southlands,9月 2024,113.45976233482405,95,1.19431328773499,1.68831098079681,-29.259875620110837
Dunbar-Southlands,11月 2024,148.72817945480313,92,1.61661064624786,1.19431328773499,35.35901030740059
Fairview,1月 2012,328.92021846771235,42,7.83143377304077,NA,NA
Fairview,3月 2012,342.260009765625,42,8.1490478515625,7.83143377304077,4.055631289574296
Fairview,5月 2012,300.0769414901735,42,7.14468908309937,8.1490478515625,-12.324860361085674
Fairview,7月 2012,301.84193515777605,42,7.186712741851811,7.14468908309937,0.5881803709534065
Fairview,9月 2012,335.4692201614379,42,7.98736238479614,7.186712741851811,11.140693550776655
Fairview,11月 2012,249.57866477966292,36,6.93274068832397,7.98736238479614,-13.203629003732583
Fairview,1月 2013,222.97161197662342,42,5.30884790420532,6.93274068832397,-23.423532728601682
Fairview,3月 2013,370.20514869689947,42,8.81440830230713,5.30884790420532,66.03241346064816
Fairview,5月 2013,386.6628684997558,42,9.20625877380371,8.81440830230713,4.445567507849772
Fairview,7月 2013,351.7561683654787,42,8.37514686584473,9.20625877380371,-9.027683539853314
Fairview,9月 2013,336.0840740203859,42,8.00200176239014,8.37514686584473,-4.455385791219243
Fairview,11月 2013,291.4745750427248,42,6.93987083435059,8.00200176239014,-13.273315347562471
Fairview,1月 2014,355.3514842987061,42,8.46074962615967,6.93987083435059,21.915087875715457
Fairview,3月 2014,374.07495689392084,42,8.9065465927124,8.46074962615967,5.269000812580218
Fairview,5月 2014,331.30573368072515,42,7.88823175430298,8.9065465927124,-11.433329717745321
Fairview,7月 2014,308.5720624923708,42,7.346953868865971,7.88823175430298,-6.861840553071294
Fairview,9月 2014,318.6100959777834,42,7.5859546661377,7.346953868865971,3.2530597243101944
Fairview,11月 2014,321.0410327911378,42,7.64383411407471,7.5859546661377,0.762981727209274
Fairview,1月 2015,236.69522380828843,42,5.63560056686401,7.64383411407471,-26.272594580681808
Fairview,3月 2015,320.99132537841814,42,7.642650604248051,5.63560056686401,35.61377378632932
Fairview,5月 2015,336.2847061157228,42,8.00677871704102,7.642650604248051,4.764421817092788
