"name","population","population_density","ntl_mean","n_pixels","n_non_na_pixels","prop_non_na_pixels","date","pct_change"
59150687,440,7705.8,3.4557409286499,3,3,1,"2012-01",NA
59150688,535,6957.1,3.52767252922058,4,4,1,"2012-01",NA
59150689,447,4966.7,3.11824727058411,2,2,1,"2012-01",NA
59150690,559,6432.7,3.62844753265381,5,5,1,"2012-01",NA
59150691,507,5547,3.64999985694885,4,4,1,"2012-01",NA
59150692,640,7872.1,3.64999985694885,3,3,1,"2012-01",NA
59150693,419,5787.3,3.23311734199524,2,2,1,"2012-01",NA
59150694,489,2633.3,2.36333465576172,6,6,1,"2012-01",NA
59150695,564,1362.6,2.71333050727844,9,9,1,"2012-01",NA
59150696,504,7875,2.25481414794922,2,2,1,"2012-01",NA
59150697,674,6877.6,2.71250653266907,4,4,1,"2012-01",NA
59150698,572,7240.5,3.07578635215759,4,4,1,"2012-01",NA
59150699,489,4190.2,3.18223023414612,6,6,1,"2012-01",NA
59150700,508,4487.6,3.58568668365479,3,3,1,"2012-01",NA
59150701,530,6408.7,3.57869124412537,3,3,1,"2012-01",NA
59150702,483,15333.3,3.52608108520508,4,4,1,"2012-01",NA
59150703,473,8003.4,3.58999991416931,4,4,1,"2012-01",NA
59150704,629,7180.4,3.49562335014343,3,3,1,"2012-01",NA
59150705,585,10502.7,3.50710082054138,4,4,1,"2012-01",NA
59150706,316,15414.6,6.68972730636597,2,2,1,"2012-01",NA
59150707,404,15131.1,5.8198618888855,2,2,1,"2012-01",NA
59150708,898,8544.2,4.89016962051392,5,5,1,"2012-01",NA
59150709,1605,11845,6.28242540359497,5,5,1,"2012-01",NA
59150710,606,8951.3,5.81036138534546,5,5,1,"2012-01",NA
59150711,1032,14978.2,6.18738222122192,3,3,1,"2012-01",NA
59150712,472,10654.6,5.77009868621826,4,4,1,"2012-01",NA
59150713,470,6685.6,5.82000017166138,2,2,1,"2012-01",NA
59150714,245,17132.9,5.74194240570068,2,2,1,"2012-01",NA
59150715,476,16819.8,5.66703224182129,2,2,1,"2012-01",NA
59150716,428,14861.1,5.59164237976074,2,2,1,"2012-01",NA
59150717,360,12371.1,5.79155445098877,4,4,1,"2012-01",NA
59150718,533,18968,6.30250644683838,2,2,1,"2012-01",NA
59150719,430,15140.8,6.78999996185303,2,2,1,"2012-01",NA
59150720,559,7374.7,6.5210976600647,4,4,1,"2012-01",NA
59150721,433,14828.8,6.65443086624146,2,2,1,"2012-01",NA
59150722,481,16416.4,6.61153554916382,4,4,1,"2012-01",NA
59150723,447,9977.7,3.01999998092651,2,2,1,"2012-01",NA
59150724,467,8236.3,4.24654150009155,2,2,1,"2012-01",NA
59150725,495,8730.2,4.6677360534668,4,4,1,"2012-01",NA
59150726,478,8475.2,5.80999994277954,2,2,1,"2012-01",NA
59150727,475,6074.2,4.98818922042847,4,4,1,"2012-01",NA
59150728,450,10440.8,3.68744039535522,3,3,1,"2012-01",NA
59150729,729,8576.5,3.78626227378845,4,4,1,"2012-01",NA
59150730,453,6300.4,3.8112199306488,2,2,1,"2012-01",NA
59150731,646,8346.3,4.03000020980835,2,2,1,"2012-01",NA
59150732,486,6352.9,3.5906994342804,3,3,1,"2012-01",NA
59150733,563,6361.6,3.38950204849243,4,4,1,"2012-01",NA
59150734,758,8124.3,2.74950575828552,4,4,1,"2012-01",NA
59150735,621,5231.7,4.02999973297119,4,4,1,"2012-01",NA
59150736,702,5358.8,3.3633725643158,4,4,1,"2012-01",NA
59150737,466,8351.3,3.48348736763,2,2,1,"2012-01",NA
59150738,493,8029.3,2.9943265914917,2,2,1,"2012-01",NA
59150739,410,7155.3,2.98666262626648,2,2,1,"2012-01",NA
